               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10129,             0.15737,            0.037216,             0.13063,            0.031797,            0.029616,            0.013125,            0.081012,             0.10858,            0.028586,            0.003268,            0.003268,            0.070588
                   1,            0.082306,             0.13801,            0.023853,             0.40522,            0.044261,            0.017636,           0.0042043,            0.093404,            0.095292,            0.013305,           0.0064706,           0.0064706,            0.040458
                   2,             0.09201,             0.12456,            0.014746,             0.21905,             0.11135,            0.076335,            0.017502,             0.10272,            0.085963,            0.010894,           0.0095412,           0.0095412,            0.010195
                   3,             0.09296,             0.11689,            0.012519,             0.37092,             0.19928,             0.14873,            0.037619,            0.087102,            0.082117,           0.0087083,            0.009406,            0.009406,            0.009406
                   4,            0.085894,             0.12049,           0.0092587,             0.35848,             0.50443,             0.34242,             0.10004,            0.082785,            0.085339,           0.0062262,            0.009406,            0.009406,            0.009406
                   5,            0.082119,             0.13459,           0.0079601,             0.21517,             0.43605,             0.26976,             0.10109,            0.070018,             0.10543,           0.0052212,            0.009208,            0.009208,            0.009208
                   6,            0.067187,             0.16403,           0.0080298,             0.61859,             0.40832,             0.41166,             0.12278,            0.059713,            0.093696,           0.0044168,             0.00901,             0.00901,             0.00901
                   7,            0.061777,             0.12885,           0.0058854,             0.48995,             0.67206,             0.59496,              0.3036,            0.060455,            0.087742,              0.0039,            0.008812,            0.008812,            0.008812
                   8,            0.062283,             0.12296,           0.0050225,             0.63805,             0.74448,             0.71527,             0.25825,            0.056591,            0.086476,           0.0034917,            0.008614,            0.008614,            0.008614
                   9,            0.056674,              0.1264,           0.0045748,             0.68759,             0.81422,             0.81879,             0.45146,            0.039603,            0.088206,           0.0035181,            0.008416,            0.008416,            0.008416
                  10,            0.050476,             0.12514,           0.0042443,             0.48703,             0.83111,             0.70924,             0.21962,            0.050431,            0.088713,           0.0029499,            0.008218,            0.008218,            0.008218
                  11,            0.050222,              0.1254,           0.0039521,             0.57197,             0.80814,              0.6718,             0.35841,            0.047023,            0.091433,           0.0041962,             0.00802,             0.00802,             0.00802
                  12,            0.050295,             0.12875,           0.0035676,             0.66732,             0.84083,             0.77264,             0.34611,            0.039823,            0.086056,           0.0029648,            0.007822,            0.007822,            0.007822
                  13,            0.046363,             0.12918,           0.0032987,             0.75519,             0.81486,             0.85804,             0.51584,            0.035409,             0.08579,           0.0026889,            0.007624,            0.007624,            0.007624
                  14,            0.045951,             0.11681,            0.003215,             0.74746,             0.86159,              0.8673,             0.49396,            0.038504,            0.086688,            0.002811,            0.007426,            0.007426,            0.007426
                  15,            0.044614,             0.12309,           0.0030494,             0.70485,             0.91391,             0.84153,             0.51276,            0.035432,             0.08335,           0.0024265,            0.007228,            0.007228,            0.007228
                  16,            0.042444,             0.12118,           0.0029232,             0.80045,             0.84205,               0.865,             0.52219,              0.0352,            0.084872,           0.0023379,             0.00703,             0.00703,             0.00703
                  17,            0.039143,             0.11748,           0.0029214,             0.88394,             0.82388,             0.88266,             0.52748,            0.033649,            0.085802,            0.002569,            0.006832,            0.006832,            0.006832
                  18,            0.040191,             0.11652,           0.0027961,             0.82609,             0.81704,             0.84255,             0.46123,            0.033964,            0.088875,           0.0025958,            0.006634,            0.006634,            0.006634
                  19,            0.036843,             0.12526,           0.0025879,             0.73711,              0.8829,             0.82808,              0.5026,            0.036392,            0.087102,           0.0020712,            0.006436,            0.006436,            0.006436
                  20,            0.037494,             0.11608,           0.0024809,             0.74703,             0.89482,             0.89495,             0.50313,            0.033158,            0.086189,           0.0020824,            0.006238,            0.006238,            0.006238
                  21,            0.036716,             0.11634,           0.0022961,             0.88629,             0.88458,             0.92181,             0.59596,            0.031352,            0.085266,           0.0017492,             0.00604,             0.00604,             0.00604
                  22,            0.041775,             0.12013,           0.0021529,             0.86249,             0.88406,              0.9085,             0.60029,            0.028994,            0.086712,           0.0019699,            0.005842,            0.005842,            0.005842
                  23,            0.033826,             0.11147,           0.0022741,             0.88667,             0.87285,              0.9162,             0.59842,              0.0302,            0.091034,            0.001718,            0.005644,            0.005644,            0.005644
                  24,            0.034245,             0.11627,            0.002092,             0.85767,             0.87264,             0.90591,             0.59385,            0.029633,            0.092376,           0.0017668,            0.005446,            0.005446,            0.005446
                  25,            0.035168,             0.11196,           0.0021229,             0.87349,             0.86891,             0.90712,             0.62212,            0.028083,            0.088599,           0.0015804,            0.005248,            0.005248,            0.005248
                  26,            0.034087,              0.1114,           0.0020818,             0.87095,             0.88014,             0.91034,             0.61141,            0.030173,            0.091728,           0.0015424,             0.00505,             0.00505,             0.00505
                  27,            0.034143,             0.10743,           0.0020123,             0.84974,             0.88523,             0.90542,             0.59398,            0.028421,            0.095306,           0.0015081,            0.004852,            0.004852,            0.004852
                  28,            0.033457,             0.10659,           0.0019512,             0.88276,             0.88221,             0.89939,             0.59939,            0.027444,            0.087358,           0.0016869,            0.004654,            0.004654,            0.004654
                  29,            0.033742,             0.10722,           0.0019243,             0.87751,             0.87777,             0.90824,             0.58847,            0.029274,            0.090628,           0.0015342,            0.004456,            0.004456,            0.004456
                  30,            0.031787,             0.10385,           0.0018727,              0.8634,             0.90122,              0.9083,             0.61187,            0.027139,            0.089437,            0.001582,            0.004258,            0.004258,            0.004258
                  31,              0.0321,             0.10261,           0.0018337,              0.8632,             0.88587,             0.89517,             0.59071,            0.026939,            0.088502,           0.0015541,             0.00406,             0.00406,             0.00406
                  32,            0.029794,             0.10236,           0.0017013,             0.86456,             0.89386,             0.90721,             0.60072,            0.027045,            0.087591,           0.0013543,            0.003862,            0.003862,            0.003862
                  33,            0.028337,             0.10122,           0.0015672,             0.86953,             0.87605,             0.91565,             0.61619,            0.026964,            0.092415,           0.0012635,            0.003664,            0.003664,            0.003664
                  34,            0.028448,            0.097427,           0.0014106,             0.86431,             0.87246,              0.9045,             0.61688,            0.027223,             0.10064,           0.0011741,            0.003466,            0.003466,            0.003466
                  35,             0.02902,            0.098706,           0.0014388,             0.85444,             0.88553,             0.90046,             0.60335,            0.027557,            0.098986,           0.0011084,            0.003268,            0.003268,            0.003268
                  36,            0.029932,            0.099808,           0.0013186,             0.85959,             0.89844,              0.9032,             0.60752,            0.026589,            0.090839,           0.0010976,             0.00307,             0.00307,             0.00307
                  37,            0.028572,                 0.1,           0.0013389,              0.8757,             0.87935,             0.90503,             0.62415,            0.025461,            0.092582,           0.0010751,            0.002872,            0.002872,            0.002872
                  38,            0.028537,            0.099638,           0.0013312,             0.87772,             0.85245,             0.89414,             0.60429,            0.025952,            0.095238,           0.0012096,            0.002674,            0.002674,            0.002674
                  39,            0.027609,            0.094226,           0.0011962,             0.86784,             0.88722,             0.90252,              0.6101,            0.026503,            0.095808,            0.001054,            0.002476,            0.002476,            0.002476
                  40,            0.027916,            0.097024,            0.001292,             0.85858,             0.86808,             0.89425,             0.62985,            0.026625,             0.10478,           0.0010799,            0.002278,            0.002278,            0.002278
                  41,            0.027155,            0.097616,           0.0012069,              0.8454,             0.91136,             0.91298,             0.63663,            0.024958,            0.091381,          0.00099591,             0.00208,             0.00208,             0.00208
                  42,            0.026804,            0.092353,           0.0011916,              0.8521,             0.90852,             0.90685,             0.63195,            0.025057,            0.091991,          0.00099063,            0.001882,            0.001882,            0.001882
                  43,            0.026217,            0.091479,            0.001113,             0.87611,             0.88144,             0.90556,             0.62853,            0.025469,            0.094519,          0.00091867,            0.001684,            0.001684,            0.001684
                  44,            0.027084,            0.091185,           0.0012772,             0.87443,             0.88234,              0.9074,             0.63666,            0.025124,             0.09318,          0.00088575,            0.001486,            0.001486,            0.001486
                  45,            0.026601,            0.090816,           0.0011366,             0.84199,             0.90811,               0.903,             0.63218,            0.025177,            0.093228,          0.00087497,            0.001288,            0.001288,            0.001288
                  46,            0.026374,            0.091189,           0.0011087,             0.87867,             0.87566,             0.89642,             0.62438,            0.025721,            0.097816,          0.00091084,             0.00109,             0.00109,             0.00109
                  47,            0.025734,             0.08864,           0.0010019,             0.85917,             0.90102,             0.90244,             0.63403,            0.025214,            0.093946,          0.00089958,            0.000892,            0.000892,            0.000892
                  48,            0.025604,            0.090093,            0.001023,             0.86728,             0.89897,              0.9056,             0.63206,              0.0254,             0.09483,          0.00086901,            0.000694,            0.000694,            0.000694
                  49,            0.026838,             0.09212,           0.0010007,             0.86838,             0.89687,             0.90871,             0.63468,            0.025415,             0.09486,          0.00084545,            0.000496,            0.000496,            0.000496
