               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032006,             0.11598,            0.001727,             0.84712,              0.9135,             0.92103,             0.61408,            0.025854,            0.081751,           0.0012852,             0.00307,             0.00307,             0.00307
                  37,            0.031456,             0.11352,           0.0018224,             0.83865,             0.92758,             0.91765,             0.60987,            0.025653,            0.082016,           0.0012351,            0.002872,            0.002872,            0.002872
                  38,            0.032155,             0.12169,           0.0015303,             0.86942,             0.88478,             0.91504,             0.62309,            0.025287,            0.081898,            0.001195,            0.002674,            0.002674,            0.002674
                  39,            0.030721,             0.11282,           0.0015968,             0.87748,             0.89488,             0.91854,             0.62759,             0.02509,            0.083349,           0.0011393,            0.002476,            0.002476,            0.002476
                  40,            0.032309,             0.12008,           0.0015799,             0.86338,             0.89963,             0.92012,             0.62189,            0.025167,            0.083012,           0.0011134,            0.002278,            0.002278,            0.002278
                  41,            0.031309,             0.11615,           0.0015687,             0.86966,             0.90893,             0.92291,             0.62714,            0.025093,            0.081739,           0.0011038,             0.00208,             0.00208,             0.00208
                  42,            0.030937,             0.11265,           0.0014879,             0.87482,             0.89343,             0.92184,              0.6376,            0.025102,            0.083791,           0.0010802,            0.001882,            0.001882,            0.001882
                  43,            0.031438,             0.11588,           0.0014476,             0.87599,             0.89785,             0.92327,             0.62587,            0.024923,            0.083334,           0.0010623,            0.001684,            0.001684,            0.001684
                  44,            0.030229,             0.11243,           0.0014191,             0.85203,             0.91293,             0.92241,             0.62459,            0.025368,            0.081982,           0.0010458,            0.001486,            0.001486,            0.001486
                  45,            0.031752,             0.11642,           0.0015175,             0.86163,             0.90294,             0.92002,             0.62847,            0.025047,            0.084102,           0.0010333,            0.001288,            0.001288,            0.001288
                  46,            0.029735,             0.11031,           0.0012891,             0.86757,             0.89966,             0.92106,             0.63575,              0.0248,            0.082522,           0.0010322,             0.00109,             0.00109,             0.00109
                  47,            0.029891,             0.11284,            0.001363,             0.85137,             0.91823,             0.92107,             0.63563,            0.024688,            0.082256,           0.0010159,            0.000892,            0.000892,            0.000892
                  48,            0.030717,             0.11737,           0.0013455,             0.85499,             0.92049,             0.92061,             0.62701,            0.024871,            0.082155,           0.0010108,            0.000694,            0.000694,            0.000694
                  49,            0.029941,             0.11226,           0.0013945,             0.86418,             0.90771,             0.91951,             0.62567,            0.024931,            0.082915,           0.0010199,            0.000496,            0.000496,            0.000496
