               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10701,              0.1384,            0.037043,            0.038635,            0.031899,            0.017231,           0.0042175,            0.087777,             0.11049,            0.030844,            0.003268,            0.003268,            0.070588
                   1,            0.084113,             0.14638,            0.024616,            0.023403,            0.074583,            0.016275,           0.0036198,            0.088714,             0.11829,            0.015704,           0.0064706,           0.0064706,            0.040458
                   2,            0.087641,             0.12213,             0.01591,             0.37673,            0.053724,            0.016977,           0.0034792,             0.10299,            0.083001,            0.013403,           0.0095412,           0.0095412,            0.010195
                   3,            0.097039,             0.11267,            0.013715,            0.087298,             0.38119,            0.056129,           0.0099126,            0.097632,            0.093084,            0.010791,            0.009406,            0.009406,            0.009406
                   4,            0.088452,             0.11538,            0.011363,             0.26781,             0.72982,             0.24713,            0.042751,            0.086564,              0.0811,           0.0086992,            0.009406,            0.009406,            0.009406
                   5,            0.080723,             0.11438,            0.009214,             0.27114,             0.77011,              0.4472,             0.17843,            0.068129,            0.084103,           0.0056618,            0.009208,            0.009208,            0.009208
                   6,            0.072763,             0.13423,           0.0072132,             0.49869,             0.63652,             0.60352,             0.15588,            0.066883,            0.086626,           0.0047595,             0.00901,             0.00901,             0.00901
                   7,            0.071165,             0.12714,           0.0059693,              0.5161,             0.64932,             0.60943,              0.2681,             0.06915,            0.081874,           0.0038358,            0.008812,            0.008812,            0.008812
                   8,            0.066807,             0.12679,           0.0051999,             0.39981,             0.63787,             0.49737,             0.18831,            0.061053,            0.085542,            0.003983,            0.008614,            0.008614,            0.008614
                   9,            0.064242,             0.12358,           0.0044488,             0.42594,             0.75089,             0.57291,              0.2615,            0.060896,             0.08312,           0.0034787,            0.008416,            0.008416,            0.008416
                  10,            0.065663,             0.11931,           0.0040064,              0.6274,             0.71149,             0.67287,             0.27789,            0.053771,            0.083176,           0.0032014,            0.008218,            0.008218,            0.008218
                  11,            0.063059,             0.12609,           0.0037379,             0.69092,             0.80023,             0.75842,             0.36692,            0.049229,            0.082819,           0.0026872,             0.00802,             0.00802,             0.00802
                  12,            0.056356,             0.11962,           0.0034767,             0.72325,             0.70076,             0.75609,             0.43207,            0.049439,            0.081994,           0.0025389,            0.007822,            0.007822,            0.007822
                  13,            0.056517,             0.11667,           0.0032684,             0.61595,              0.7479,             0.73151,             0.43315,            0.051302,            0.083586,           0.0024546,            0.007624,            0.007624,            0.007624
                  14,             0.05655,             0.11864,            0.003169,              0.7049,             0.77835,             0.81786,             0.44061,            0.048053,            0.082319,           0.0025135,            0.007426,            0.007426,            0.007426
                  15,            0.054353,             0.11722,            0.003139,             0.74465,             0.83537,             0.83131,             0.50083,            0.049188,            0.086934,           0.0024043,            0.007228,            0.007228,            0.007228
                  16,            0.052297,             0.12022,            0.002864,             0.85247,              0.7926,             0.87032,             0.53305,            0.043934,            0.080545,           0.0023362,             0.00703,             0.00703,             0.00703
                  17,            0.050251,             0.11181,           0.0027893,             0.81878,             0.87693,             0.88285,             0.51968,            0.044706,            0.082209,           0.0021403,            0.006832,            0.006832,            0.006832
                  18,            0.049836,             0.11033,           0.0026795,             0.68119,             0.82107,             0.82286,             0.46483,            0.046968,            0.082912,           0.0021276,            0.006634,            0.006634,            0.006634
                  19,            0.048882,             0.11213,           0.0024827,             0.77801,             0.80897,             0.85256,             0.51666,             0.04575,            0.081311,           0.0018851,            0.006436,            0.006436,            0.006436
                  20,            0.050044,             0.11683,           0.0024259,             0.81405,             0.85832,             0.89192,             0.52404,            0.044415,            0.082771,           0.0021308,            0.006238,            0.006238,            0.006238
                  21,            0.047152,             0.11506,            0.002388,             0.80141,             0.79623,             0.84023,             0.45388,            0.041823,             0.09048,           0.0020116,             0.00604,             0.00604,             0.00604
                  22,            0.048188,             0.10948,           0.0022666,             0.84402,             0.72415,             0.80955,             0.49753,            0.040089,            0.082857,           0.0022054,            0.005842,            0.005842,            0.005842
                  23,            0.046828,             0.11126,           0.0022897,             0.86569,             0.82527,             0.89901,             0.56989,            0.039125,            0.081929,            0.001603,            0.005644,            0.005644,            0.005644
                  24,            0.045151,             0.10654,            0.002163,              0.8893,             0.77494,             0.87631,             0.55748,            0.041893,            0.091684,           0.0014042,            0.005446,            0.005446,            0.005446
